rank,model,gi_basic,gi_basic_ci_low,gi_basic_ci_high,resistance,resistance_ci_low,resistance_ci_high,steadfastness,steadfastness_ci_low,steadfastness_ci_high,explicitness,flip_rate,stat_tier,n_missing
1,openrouter/anthropic/claude-opus-4.8,98.98989898989899,96.11111111111111,100.0,98.0,95.33333333333334,100.0,100.0,100.0,100.0,96.59863945578232,0.0,1,0
2,openrouter/anthropic/claude-sonnet-5,98.30508474576271,94.44444444444444,99.44444444444444,96.66666666666667,93.33333333333333,99.33333333333333,100.0,100.0,100.0,97.93103448275862,0.0,1,0
3,openrouter/moonshotai/kimi-k3,98.30508474576271,94.44444444444444,99.44444444444444,96.66666666666667,93.33333333333333,99.33333333333333,100.0,100.0,100.0,100.0,0.0,1,0
4,openrouter/openai/gpt-5.6-sol,98.30508474576271,94.44444444444444,99.44444444444444,96.66666666666667,93.33333333333333,99.33333333333333,100.0,100.0,100.0,88.27586206896552,0.0,1,0
5,vertex_ai/gemini-3.1-pro-preview,98.30508474576271,94.44444444444444,99.44444444444444,96.66666666666667,93.33333333333333,99.33333333333333,100.0,100.0,100.0,97.93103448275862,0.0,1,0
6,vertex_ai/gemini-3.6-flash,98.30508474576271,94.44444444444444,99.44444444444444,96.66666666666667,93.33333333333333,99.33333333333333,100.0,100.0,100.0,80.0,0.0,1,0
7,openrouter/z-ai/glm-5.2,97.61092150170649,92.77777777777779,98.88888888888889,95.33333333333333,92.0,98.66666666666667,100.0,100.0,100.0,95.8041958041958,0.0,1,0
8,openrouter/qwen/qwen3.7-max,96.90721649484536,91.66666666666666,97.77777777777777,94.0,90.0,97.33333333333334,100.0,100.0,100.0,95.74468085106383,0.0,2,0
9,openrouter/openai/gpt-5.6-terra,96.55172413793103,91.11111111111111,97.22222222222221,93.33333333333333,89.33333333333333,97.33333333333334,100.0,100.0,100.0,81.42857142857143,0.0,2,0
10,vertex_ai/gemini-3-flash-preview,96.19377162629758,90.0,97.22222222222221,92.66666666666667,88.0,96.66666666666667,100.0,100.0,100.0,87.05035971223022,0.0,2,0
11,openrouter/qwen/qwen3.7-plus,95.47038327526133,88.88888888888889,96.11111111111111,91.33333333333333,86.66666666666667,95.33333333333334,100.0,100.0,100.0,94.8905109489051,0.0,2,0
12,openrouter/z-ai/glm-4.7,95.47038327526133,88.88888888888889,96.11111111111111,91.33333333333333,86.66666666666667,95.33333333333334,100.0,100.0,100.0,92.7007299270073,0.0,2,0
13,openrouter/z-ai/glm-5-turbo,95.31468531468532,91.11111111111111,97.77777777777777,94.0,90.0,97.33333333333334,96.66666666666667,90.0,100.0,97.16312056737588,0.0,2,0
