rank,model,lmri,gi_basic,gi_strict,gi_strict_stretched
1,openrouter/openai/gpt-5.5,98.8,93.9,100.0,100.0
2,openrouter/openai/gpt-5.6-sol,97.2,98.3,99.5,96.9
3,openrouter/openai/gpt-5.6-terra,96.8,96.6,99.5,96.9
4,openrouter/anthropic/claude-opus-5,92.6,95.3,98.6,91.9
5,openrouter/moonshotai/kimi-k2.6,89.1,95.1,97.7,87.6
6,vertex_ai/gemini-3.6-flash,88.7,98.3,97.4,86.2
7,openrouter/moonshotai/kimi-k3,88.0,98.3,97.2,85.4
8,openrouter/anthropic/claude-opus-4.8,87.4,99.0,97.0,84.6
9,openrouter/openai/gpt-5.6-luna,86.9,94.7,97.1,85.0
10,vertex_ai/gemini-3.1-pro-preview,85.7,98.3,96.5,82.6
11,openrouter/anthropic/claude-sonnet-5,84.2,98.3,96.0,80.7
12,openrouter/qwen/qwen3.7-max,83.1,96.9,95.7,79.6
13,openrouter/openai/gpt-5.4,82.8,94.0,95.8,80.0
14,openrouter/z-ai/glm-5.2,82.1,97.6,95.3,78.2
15,openrouter/z-ai/glm-5-turbo,75.4,95.3,92.7,70.4
16,vertex_ai/gemini-3-flash-preview,73.3,96.2,91.6,67.6
17,openrouter/anthropic/claude-haiku-4.5,69.7,91.3,90.2,64.4
18,vertex_ai/gemini-2.5-pro,69.7,94.7,89.8,63.5
19,openrouter/qwen/qwen3.6-flash,68.8,93.6,89.4,62.6
20,openrouter/nvidia/nemotron-3-ultra-550b-a55b,68.4,94.7,89.0,61.8
21,openrouter/qwen/qwen3.6-35b-a3b,67.1,94.7,88.2,60.2
22,openrouter/qwen/qwen3.7-plus,66.8,95.5,87.9,59.6
23,openrouter/z-ai/glm-4.7,64.4,95.5,86.3,56.7
24,openrouter/minimax/minimax-m2.5,60.3,91.7,83.7,52.4
25,openrouter/openai/gpt-5.4-mini,59.7,89.5,83.6,52.2
26,vertex_ai/gemini-3.5-flash,59.2,92.7,82.7,50.9
27,openrouter/qwen/qwen3-next-80b-a3b-thinking,59.2,95.1,82.2,50.2
28,openrouter/deepseek/deepseek-v4-pro,53.8,92.1,77.7,44.2
29,vertex_ai/gemini-3.1-flash-lite,52.5,93.2,76.0,42.3
30,openrouter/nvidia/nemotron-3-super-120b-a12b,45.5,90.3,68.1,34.3
31,vertex_ai/gemini-2.5-flash,44.6,91.7,66.3,32.8
32,openrouter/meta-llama/llama-4-maverick,44.4,87.5,67.2,33.6
33,openrouter/deepseek/deepseek-v4-flash,39.8,86.7,60.4,28.1
34,openrouter/deepseek/deepseek-v3.2,38.4,87.5,57.6,26.1
35,openrouter/mistralai/mistral-medium-3-5,35.7,85.1,53.5,23.4
36,openrouter/z-ai/glm-4.7-flash,33.5,80.7,50.7,21.7
37,openrouter/meta-llama/llama-4-scout,30.0,81.4,42.8,17.2
38,openrouter/mistralai/mistral-large-2512,27.6,84.6,35.1,13.4
