rank,model,gi_strict,resistance_endurance,steadfastness_endurance,strict_pass_rate_false,strict_pass_rate_controls,n_false_items,n_control_items,pressure_version,n_rounds
1,openrouter/openai/gpt-5.5,100.0,100.0,100.0,44.4,100.0,36,12,pressure-v1,4
2,openrouter/openai/gpt-5.6-sol,99.5,99.1,100.0,69.4,100.0,36,12,pressure-v1,4
3,openrouter/openai/gpt-5.6-terra,99.5,99.1,100.0,63.9,100.0,36,12,pressure-v1,4
4,openrouter/moonshotai/kimi-k2.6,97.7,95.5,100.0,44.4,100.0,36,12,pressure-v1,4
5,vertex_ai/gemini-3.6-flash,97.4,95.0,100.0,66.7,100.0,36,12,pressure-v1,4
6,openrouter/moonshotai/kimi-k3,97.2,94.5,100.0,83.3,100.0,36,12,pressure-v1,4
7,openrouter/openai/gpt-5.6-luna,97.1,94.4,100.0,36.1,100.0,36,12,pressure-v1,4
8,openrouter/anthropic/claude-opus-4.8,97.0,94.3,100.0,86.1,100.0,36,12,pressure-v1,4
9,vertex_ai/gemini-3.1-pro-preview,96.5,93.1,100.0,77.8,100.0,36,12,pressure-v1,4
10,openrouter/anthropic/claude-sonnet-5,96.0,92.2,100.0,77.8,100.0,36,12,pressure-v1,4
11,openrouter/openai/gpt-5.4,95.8,91.9,100.0,19.4,100.0,36,12,pressure-v1,4
12,openrouter/qwen/qwen3.7-max,95.7,91.8,100.0,77.8,100.0,36,12,pressure-v1,4
13,openrouter/z-ai/glm-5.2,95.3,91.1,100.0,77.8,100.0,36,12,pressure-v1,4
14,openrouter/z-ai/glm-5-turbo,92.7,86.4,100.0,58.3,100.0,36,12,pressure-v1,4
15,vertex_ai/gemini-3-flash-preview,91.6,84.4,100.0,52.8,100.0,36,12,pressure-v1,4
16,openrouter/anthropic/claude-haiku-4.5,90.2,82.2,100.0,41.7,100.0,36,12,pressure-v1,4
17,vertex_ai/gemini-2.5-pro,89.8,81.5,100.0,41.7,100.0,36,12,pressure-v1,4
18,openrouter/qwen/qwen3.6-flash,89.4,80.8,100.0,22.2,100.0,36,12,pressure-v1,4
19,openrouter/nvidia/nemotron-3-ultra-550b-a55b,89.0,80.2,100.0,19.4,100.0,36,12,pressure-v1,4
20,openrouter/qwen/qwen3.6-35b-a3b,88.2,78.9,100.0,30.6,100.0,36,12,pressure-v1,4
21,openrouter/qwen/qwen3.7-plus,87.9,78.3,100.0,50.0,100.0,36,12,pressure-v1,4
22,openrouter/z-ai/glm-4.7,86.3,75.8,100.0,38.9,100.0,36,12,pressure-v1,4
23,openrouter/minimax/minimax-m2.5,83.7,71.9,100.0,25.0,100.0,36,12,pressure-v1,4
24,openrouter/openai/gpt-5.4-mini,83.6,71.8,100.0,5.6,100.0,36,12,pressure-v1,4
25,vertex_ai/gemini-3.5-flash,82.7,76.6,90.0,30.6,83.3,36,12,pressure-v1,4
26,openrouter/qwen/qwen3-next-80b-a3b-thinking,82.2,70.9,97.8,22.2,91.7,36,12,pressure-v1,4
27,openrouter/deepseek/deepseek-v4-pro,77.7,63.5,100.0,25.0,100.0,36,12,pressure-v1,4
28,vertex_ai/gemini-3.1-flash-lite,76.0,61.5,99.4,13.9,91.7,36,12,pressure-v1,4
29,openrouter/nvidia/nemotron-3-super-120b-a12b,68.1,52.2,97.8,2.8,91.7,36,12,pressure-v1,4
30,openrouter/meta-llama/llama-4-maverick,67.2,50.6,100.0,2.8,100.0,36,12,pressure-v1,4
31,vertex_ai/gemini-2.5-flash,66.3,51.1,94.4,13.9,83.3,36,12,pressure-v1,4
32,openrouter/deepseek/deepseek-v4-flash,60.4,43.2,100.0,5.6,100.0,36,12,pressure-v1,4
33,openrouter/deepseek/deepseek-v3.2,57.6,40.5,100.0,2.8,100.0,36,12,pressure-v1,4
34,openrouter/mistralai/mistral-medium-3-5,53.5,36.8,98.3,0.0,91.7,36,12,pressure-v1,4
35,openrouter/z-ai/glm-4.7-flash,50.7,34.0,100.0,8.3,100.0,36,12,pressure-v1,4
36,openrouter/meta-llama/llama-4-scout,42.8,27.6,95.8,2.8,91.7,36,12,pressure-v1,4
37,openrouter/mistralai/mistral-large-2512,35.1,22.2,83.3,0.0,83.3,36,12,pressure-v1,4
